iter	Passed	Remaining
405	6707	9814
406	6724	9797
407	6739	9779
408	6756	9762
409	6771	9744
410	6788	9727
411	6804	9710
412	6820	9693
413	6841	9684
414	6862	9673
415	6878	9656
416	6893	9637
417	6910	9621
418	6927	9605
419	6943	9588
420	6958	9570
421	6975	9553
422	6990	9536
423	7008	9520
424	7024	9503
425	7040	9486
426	7056	9468
427	7072	9452
428	7087	9433
429	7104	9417
430	7120	9399
431	7135	9381
432	7151	9364
433	7166	9346
434	7182	9329
435	7198	9311
436	7215	9295
437	7231	9278
438	7247	9262
439	7263	9244
440	7279	9226
441	7295	9210
442	7311	9193
443	7326	9175
444	7342	9157
445	7358	9140
446	7375	9123
447	7389	9104
448	7405	9087
449	7420	9069
450	7436	9052
451	7451	9034
452	7466	9016
453	7482	8998
454	7498	8981
455	7514	8964
456	7529	8946
457	7545	8929
458	7561	8912
459	7581	8899
460	7597	8883
461	7614	8867
462	7630	8849
463	7645	8832
464	7661	8814
465	7677	8797
466	7694	8781
467	7709	8763
468	7725	8746
469	7740	8729
470	7758	8713
471	7775	8698
472	7791	8680
473	7808	8664
474	7824	8647
475	7840	8631
476	7857	8615
477	7875	8600
478	7894	8586
479	7909	8568
480	7926	8552
481	7940	8533
482	7956	8517
483	7975	8502
484	7991	8486
485	8007	8468
486	8023	8451
487	8038	8434
488	8054	8416
489	8069	8398
490	8085	8381
491	8100	8364
492	8116	8346
493	8131	8329
494	8148	8313
495	8165	8296
496	8181	8280
497	8196	8262
498	8212	8245
499	8227	8227
500	8243	8211
501	8260	8194
502	8275	8177
503	8291	8159
504	8306	8142
505	8322	8124
506	8337	8106
507	8354	8091
508	8371	8075
509	8387	8058
510	8403	8041
511	8419	8024
512	8435	8008
513	8451	7991
514	8468	7974
515	8489	7963
516	8507	7947
517	8522	7930
518	8538	7913
519	8554	7896
520	8570	7879
521	8586	7862
522	8602	7845
523	8618	7828
524	8634	7811
525	8650	7794
526	8665	7777
527	8681	7760
528	8698	7744
529	8713	7726
530	8728	7709
531	8744	7692
532	8759	7675
533	8775	7658
534	8791	7640
535	8806	7623
536	8821	7606
537	8837	7589
538	8852	7571
539	8868	7554
540	8887	7540
541	8903	7523
542	8918	7506
543	8934	7489
544	8950	7472
545	8967	7456
546	8983	7439
547	8999	7422
548	9014	7405
549	9029	7388
550	9044	7370
551	9060	7353
552	9075	7335
553	9091	7319
554	9107	7302
555	9123	7285
556	9138	7268
557	9153	7250
558	9168	7233
559	9185	7217
560	9201	7200
561	9216	7182
562	9231	7165
563	9246	7148
564	9262	7130
565	9277	7113
566	9293	7096
567	9309	7080
568	9324	7062
569	9339	7045
570	9355	7028
571	9373	7013
572	9388	6996
573	9404	6979
574	9420	6962
575	9436	6946
576	9453	6930
577	9469	6913
578	9486	6897
579	9502	6880
580	9522	6867
581	9538	6850
582	9554	6833
583	9569	6816
584	9587	6801
585	9605	6785
586	9620	6768
587	9636	6752
588	9651	6734
589	9667	6717
590	9682	6700
591	9699	6684
592	9714	6667
593	9729	6650
594	9744	6633
595	9760	6616
596	9777	6600
597	9792	6583
598	9808	6566
599	9824	6549
600	9839	6532
601	9855	6515
602	9871	6499
603	9886	6482
604	9902	6465
605	9925	6453
606	9946	6439
607	9961	6422
608	9976	6405
609	9991	6388
610	10007	6371
611	10022	6353
612	10037	6337
613	10052	6319
614	10068	6303
615	10085	6287
616	10100	6270
617	10116	6253
618	10132	6236
619	10147	6219
620	10163	6202
621	10179	6185
622	10196	6170
623	10212	6153
624	10229	6137
625	10246	6121
626	10263	6105
627	10278	6088
628	10294	6071
629	10309	6055
630	10325	6038
631	10340	6021
632	10358	6005
633	10373	5988
634	10389	5971
635	10405	5955
636	10421	5938
637	10437	5922
638	10453	5905
639	10471	5890
640	10487	5873
641	10504	5857
642	10520	5841
643	10540	5826
644	10555	5809
645	10572	5793
646	10587	5776
647	10605	5761
648	10623	5745
649	10638	5728
650	10655	5712
651	10670	5695
652	10687	5679
653	10702	5662
654	10718	5645
655	10733	5628
656	10750	5612
657	10766	5595
658	10782	5579
659	10798	5563
660	10814	5546
661	10830	5529
662	10845	5512
663	10861	5496
664	10876	5479
665	10892	5462
666	10909	5446
667	10926	5430
668	10942	5414
669	10962	5399
670	10978	5383
671	10994	5366
672	11011	5350
673	11027	5333
674	11043	5317
675	11059	5300
676	11074	5283
677	11091	5267
678	11106	5250
679	11122	5234
680	11139	5217
681	11154	5200
682	11170	5184
683	11186	5167
684	11201	5151
685	11218	5134
686	11234	5118
687	11249	5101
688	11265	5084
689	11281	5068
690	11298	5052
691	11314	5035
692	11330	5019
693	11346	5003
694	11361	4985
695	11376	4969
696	11392	4952
697	11408	4936
698	11425	4920
699	11441	4903
700	11457	4886
701	11475	4871
702	11490	4854
703	11506	4837
704	11522	4821
705	11538	4804
706	11554	4788
707	11571	4772
708	11586	4755
709	11603	4739
710	11619	4723
711	11636	4707
